,Return Diff Method 1,Return Diff Method 2
2006-04-07,0.9482010327772928,0.9833791863227961
2006-07-07,0.9251068443216892,0.9262600201588143
2006-10-06,0.9760633534057696,0.9532907719947845
2007-01-08,0.9383140730456712,0.9329668054608913
2007-04-05,0.9415700163651477,0.9303104984993964
2007-07-06,0.9826126121553499,0.9789998862278491
2007-10-08,0.9083253307562138,0.9914254810419155
2008-01-07,0.8808619760903883,0.9506528430188005
2008-04-07,0.8348946903682686,0.7749178362365043
2008-07-07,0.7781806711389371,0.7402995446455191
2008-10-07,0.7951611255186124,0.8019120990505147
2009-01-07,0.7883556626640933,0.7917747214643942
2009-04-07,0.804501571502665,0.8024212278477351
2009-07-07,0.8738484401226527,0.8496840373787452
2009-10-07,0.8193625074239252,0.8135997682521413
2010-01-07,0.820611271551038,0.7947696433515619
2010-04-07,0.8251727442919264,0.7748882306369724
2010-07-07,0.8207209316932544,0.7283461703785149
2010-10-07,0.8501422545546617,0.7250338616247997
2011-01-07,0.8593935225121543,0.7400001524128849
2011-04-07,0.8723047293232508,0.7418200728398638
2011-07-07,0.8563358518106603,0.7517854649344979
2011-10-07,0.9126693050852909,0.8295454471867468
2012-01-06,0.9011085010886641,0.8137064442757779
2012-04-05,0.8669030225106421,0.9650430224563853
2012-07-06,0.874113555734832,0.9502528181561607
2012-10-08,0.9023501026384698,0.9957209745865517
2013-01-07,0.8722359729900214,0.972296244836615
2013-04-08,0.9075234856320082,0.9494225911188824
2013-07-08,0.9058368649068328,0.9395093752317523
2013-10-07,0.9410430330410726,0.9622828664658025
2014-01-07,0.9774398933813729,0.9690508806462618
2014-04-07,0.9667259531859875,0.9758664962311969
2014-07-07,1.0020261318401333,0.9827300480150762
2014-10-07,0.9612892510467987,1.022056750806133
2015-01-07,0.9506362808693152,1.0301929029855836
2015-04-07,0.90983502664585,0.9269837508069038
2015-07-07,0.9769450108151125,0.9705367121856513
2015-10-07,0.9753570102808303,0.974965068934223
2016-01-07,0.9281500404903779,0.9576714778160302
2016-04-07,0.8969243269421506,0.9571393382599123
2016-07-07,0.9442252092500418,0.9566074943923616
2016-10-07,0.9421608858297946,0.9748475308466547
2017-01-06,0.9138072932110836,0.9560812695732519
2017-04-07,0.9229924553128984,0.893793677556062
2017-07-07,0.9783681019991267,0.8355640503194515
2017-10-06,1.0027838258632027,0.8325606163772648
2018-01-08,1.0123978990777684,0.8174225533104988
2018-04-06,0.985766890932287,0.7669671949521583
2018-07-06,1.0448482896150926,0.8706787481763119
2018-10-08,1.1144843181304311,0.9294981979221595
2019-01-07,1.1191224874065124,0.9250151405078902
2019-04-08,1.1396274303971088,0.9657204763233325
2019-07-08,1.1579889089247588,0.9990047866383656
2019-10-07,1.1930649714612804,0.9561883567383076
2020-01-07,1.1971091401185825,0.9626981199473293
2020-04-07,1.3273521313312444,1.0666097898643614
2020-07-07,1.2930406066343902,1.0341152363412844
2020-10-07,1.2361712857786429,0.9942587683229316
2021-01-07,1.2872283333076835,0.9613158913476276
2021-04-07,1.380558071305187,0.9867095125974413
2021-07-07,1.3803000728512327,1.0000999257033742
2021-10-07,1.3582762720224815,0.9477040497437063
